Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
550.1342865,-3272.917646240357,64600
550.1236675,-3273.2685229796652,64570
550.1130485,-3273.6194132651367,64692
550.1024295,-3273.9703170975536,64713
550.0918105,-3274.321234477701,64774
550.0811915,-3274.6721654063604,64634
550.0705725,-3275.023109884322,64691
550.0599535,-3275.374067912369,64858
550.0493345,-3275.7250394912844,64644
550.0387155,-3276.0760246218533,64670
550.0280965,-3276.4270233048624,64690
550.0174775,-3276.778035541093,64712
550.0068585,-3277.1290613313336,64560
549.9962395,-3277.480100676369,64703
549.9856205,-3277.8311535769835,64662
549.9750015,-3278.1822200339625,64683
549.9643825,-3278.5333000480878,64634
549.9537635,-3278.8843936201524,64880
549.9431445,-3279.235500750937,64569
549.9325255,-3279.5866214412267,64774
549.9219065,-3279.9377556918066,64822
549.9112875,-3280.288903503466,64623
549.9006685,-3280.6400648769827,64569
549.8900495,-3280.991239813151,64645
549.8794305,-3281.342428312754,64536
549.8688115,-3281.6936303765756,64633
549.8581925,-3282.0448460054017,64541
549.8475735,-3282.396075200021,64702
549.8369545,-3282.747317961215,64767
549.8263355,-3283.0985742897738,64571
549.8157165,-3283.449844186483,64571
549.8050975,-3283.8011276521306,64713
549.7944785,-3284.152424687496,64531
549.7838595,-3284.503735293373,64654
549.7732405,-3284.855059470539,64650
549.7626215,-3285.2063972197907,64513
549.7520025,-3285.557748541909,64618
549.7413835,-3285.9091134376836,64771
549.7307645,-3286.260491907897,64744
549.7201455,-3286.6118839533387,64706
549.7095265,-3286.9632895747895,64755
549.6989075,-3287.3147087730467,64720
549.6882885,-3287.6661415488893,64594
549.6776695,-3288.0175879031085,64761
549.6670505,-3288.369047836487,64608
549.6564315,-3288.7205213498123,64619
549.6458125,-3289.072008443876,64783
549.6351935,-3289.4235091194646,64707
549.6245745,-3289.7750233773613,64606
549.6139555,-3290.1265512183554,64554
549.6033365,-3290.4780926432336,64621
549.5927175,-3290.8296476527817,64842
549.5820985,-3291.1812162477904,64600
549.5714795,-3291.532798429047,64538
549.5608605,-3291.884394197339,64612
549.5502415,-3292.236003553453,64487
549.5396225,-3292.5876264981766,64723
549.5290035,-3292.9392630322923,64626
549.5183845,-3293.2909131566007,64540
549.5077655,-3293.6425768718796,64695
549.4971465,-3293.9942541789205,64744
549.4865275,-3294.345945078509,64640
549.4759085,-3294.6976495714384,64423
549.4652895,-3295.049367658487,64868
549.4546705,-3295.4010993404527,64632
549.4440515,-3295.752844618121,64615
549.4334325,-3296.1046034922783,64679
549.4228135,-3296.456375963715,64558
549.4121945,-3296.8081620332146,64588
549.4015755,-3297.159961701572,64689
549.3909565,-3297.5117749695755,64753
549.3803375,-3297.8636018380107,64548
549.3697185,-3298.2154423076645,64709
549.3590995,-3298.567296379331,64613
549.3484805,-3298.9191640537924,64612
549.3378615,-3299.2710453318446,64596
549.3272425,-3299.6229402142726,64660
549.3166235,-3299.974848701866,64508
549.3060045,-3300.326770795416,64496
549.2953855,-3300.6787064957075,64595
549.2847665,-3301.0306558035277,64667
549.2741475,-3301.3826187196746,64560
549.2635285,-3301.7345952449314,64485
549.2529095,-3302.0865853800888,64642
549.2422905,-3302.4385891259362,64424
549.2316715,-3302.7906064832637,64679
549.2210525,-3303.142637452858,64666
549.2104335,-3303.494682035512,64653
549.1998145,-3303.846740232014,64605
549.1891955,-3304.1988120431542,64602
549.1785765,-3304.550897469723,64709
549.1679575,-3304.9029965125033,64524
549.1573385,-3305.2551091722967,64604
549.1467195,-3305.607235449886,64586
549.1361005,-3305.959375346063,64642
549.1254815,-3306.311528861619,64521
549.1148625,-3306.6636959973393,64533
549.1042435,-3307.0158767540147,64768
549.0936245,-3307.3680711324437,64759
549.0830055,-3307.7202791334093,64774
549.0723865,-3308.072500757702,64631
