U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;10.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.2 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.4 
4.6V;4.5V;0.362A;0.007A;100W;0W;N/A;N/A;N/A;On;CV;None;11.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;11.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.3 
4.6V;4.6V;0.362A;0.006A;100W;0W;N/A;N/A;N/A;On;CV;None;12.4 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.5 
4.6V;4.6V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;12.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.7 
4.6V;4.6V;0.362A;0.017A;100W;0W;N/A;N/A;N/A;On;CV;None;12.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;12.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.1 
4.6V;4.6V;0.362A;0.014A;100W;0W;N/A;N/A;N/A;On;CV;None;13.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.3 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.8 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;13.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.0 
4.6V;4.7V;0.362A;0.011A;100W;0W;N/A;N/A;N/A;On;CV;None;14.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.2 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.6 
4.6V;4.5V;0.362A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;14.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;14.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.1 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.3 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.4 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.8 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;15.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.1 
4.6V;4.5V;0.362A;0.013A;100W;0W;N/A;N/A;N/A;On;CV;None;16.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.8 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;16.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.0 
