U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19524.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19525.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19526.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19526.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19526.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19526.3 
