U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.7 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.8 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6516.9 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.4 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.5 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.6 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.7 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6517.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.6 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.7 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.8 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6518.9 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.0 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.8 
