U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;13.6 
75.0V;23.6V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;13.7 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.8 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;13.9 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;14.0 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;14.1 
75.0V;23.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;14.2 
75.0V;23.6V;0.142A;0.141A;100W;3W;N/A;N/A;N/A;On;CC;None;14.3 
75.0V;23.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;14.4 
75.0V;23.7V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;14.5 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;14.6 
75.0V;23.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;14.7 
75.0V;23.8V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;14.8 
75.0V;23.8V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;14.9 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.0 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.1 
75.0V;23.8V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;15.2 
75.0V;23.8V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;15.3 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.4 
