U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;22.2 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;22.3 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;22.4 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;22.5 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;22.6 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;22.7 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;22.8 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;22.9 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;23.0 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;23.1 
110.0V;33.4V;0.185A;0.184A;100W;6W;N/A;N/A;N/A;On;CC;None;23.2 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;23.3 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;23.4 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;23.5 
110.0V;33.4V;0.185A;0.184A;100W;6W;N/A;N/A;N/A;On;CC;None;23.6 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;23.7 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;23.8 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;23.9 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.0 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.1 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;24.2 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.3 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;24.4 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.5 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.6 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.7 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.8 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;24.9 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;25.0 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;25.1 
